INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Black River Technical College,Pocahontas,AR,NULL,NULL,NULL,NULL,NULL,NULL,3216,5448
University of Central Arkansas,Conway,AR,0.9042,490,580,470,580,1187,9188,15998
Central Baptist College,Conway,AR,0.4,418,520,440,543,1027,16650,16650
Cossatot Community College of the University of Arkansas,De Queen,AR,NULL,NULL,NULL,NULL,NULL,NULL,3510,4350
Crowley's Ridge College,Paragould,AR,NULL,NULL,NULL,NULL,NULL,NULL,14500,14500
East Arkansas Community College,Forrest City,AR,NULL,NULL,NULL,NULL,NULL,NULL,2925,3804
Eastern College of Health Vocations-Little Rock,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Little Rock,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
National Park College,Hot Springs,AR,NULL,NULL,NULL,NULL,NULL,NULL,4550,6230
University of Arkansas Community College-Batesville,Batesville,AR,NULL,NULL,NULL,NULL,NULL,NULL,2526,3438
Harding University,Searcy,AR,0.6134,540,640,520,630,1204,20735,20735
Henderson State University,Arkadelphia,AR,0.7564,480,568,483,558,1102,8902,10612
Hendrix College,Conway,AR,0.6996,580,690,570,670,1324,47600,47600
Hot Springs Beauty College,Hot Springs,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John Brown University,Siloam Springs,AR,0.7577,540,640,520,620,1237,27668,27668
Career Academy of Hair Design,Springdale,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy of Salon and Spa,Fort Smith,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas State University Mid-South,West Memphis,AR,NULL,NULL,NULL,NULL,NULL,NULL,2746,4186
Arkansas Northeastern College,Blytheville,AR,NULL,NULL,NULL,NULL,NULL,NULL,2346,4026
New Tyler Barber College Inc,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North Arkansas College,Harrison,AR,NULL,NULL,NULL,NULL,NULL,NULL,2352,4632
Northwest Technical Institute,Springdale,AR,NULL,NULL,NULL,NULL,NULL,NULL,2326,2326
Ouachita Baptist University,Arkadelphia,AR,0.6143,530,630,530,620,1194,27900,27900
Arkansas State University Three Rivers,Malvern,AR,NULL,NULL,NULL,NULL,NULL,NULL,3458,5906
Ozarka College,Melbourne,AR,NULL,NULL,NULL,NULL,NULL,NULL,3004,5356
University of the Ozarks,Clarksville,AR,0.5019,450,510,420,540,1046,25950,25950
University of Arkansas Community College-Morrilton,Morrilton,AR,0.7551,NULL,NULL,NULL,NULL,NULL,3216,4128
Philander Smith College,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,13014,13014
Phillips Community College of the University of Arkansas,Helena,AR,NULL,NULL,NULL,NULL,NULL,NULL,3020,4910
Southeast Arkansas College,Pine Bluff,AR,NULL,NULL,NULL,NULL,NULL,NULL,3855,6735
Professional Cosmetology Education Center,El Dorado,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Arkansas-Pulaski Technical College,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,5670,6900
University of Arkansas Hope-Texarkana,Hope,AR,NULL,NULL,NULL,NULL,NULL,NULL,2980,4300
University of Arkansas Community College Rich Mountain,Mena,AR,NULL,NULL,NULL,NULL,NULL,NULL,3072,3648
Paul Mitchell the School-Arkansas,Fayetteville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Searcy Beauty College,Searcy,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shorter College,N Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,5596,5596
Williams Baptist University,Walnut Ridge,AR,0.5878,440,460,510,530,1062,18060,18060
South Arkansas Community College,El Dorado,AR,NULL,NULL,NULL,NULL,NULL,NULL,2700,4812
Southern Arkansas University Main Campus,Magnolia,AR,0.6506,458,600,508,568,1085,9080,13580
Southern Arkansas University Tech,Camden,AR,NULL,NULL,NULL,NULL,NULL,NULL,4977,6417
Velvatex College of Beauty Culture,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Arkansas-Fort Smith,Fort Smith,AR,NULL,NULL,NULL,NULL,NULL,NULL,5754,13026
Academy of Art University,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,23412,23412
Academy of Chinese Culture and Health Sciences,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Alameda,Alameda,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Alameda,Alameda,CA,NULL,NULL,NULL,NULL,NULL,NULL,1257,7617
Allan Hancock College,Santa Maria,CA,NULL,NULL,NULL,NULL,NULL,NULL,1352,7504
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,0.7847,NULL,NULL,NULL,NULL,NULL,36190,36190
Berkeley School of Theology,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Film Institute Conservatory,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Beauty College,West Covina,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Career College-Los Angeles,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Conservatory Theater,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,30456,30456
American River College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,1104,8928
Antelope Valley College,Lancaster,CA,NULL,NULL,NULL,NULL,NULL,NULL,1124,6380
Art Center College of Design,Pasadena,CA,0.7084,NULL,NULL,NULL,NULL,NULL,44932,44932
Associated Technical College-Los Angeles,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Associated Technical College-San Diego,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Azusa Pacific University,Azusa,CA,0.6748,520,630,510,630,1146,40220,40220
Bakersfield College,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,1325,7737
Barstow Community College,Barstow,CA,NULL,NULL,NULL,NULL,NULL,NULL,1104,7464
Bellus Academy-Chula Vista,Chula Vista,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bethesda University,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,8095,8095
Biola University,La Mirada,CA,0.6985,550,660,530,650,1198,41976,41976
Brownson Technical School,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bryan University,Tempe,AZ,NULL,NULL,NULL,NULL,NULL,NULL,10075,10075
Butte College,Oroville,CA,NULL,NULL,NULL,NULL,NULL,NULL,1368,6984
California Institute of Integral Studies,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cabrillo College,Aptos,CA,NULL,NULL,NULL,NULL,NULL,NULL,1270,7462
California Baptist University,Riverside,CA,0.7828,500,610,490,600,1096,34882,34882
California College of the Arts,San Francisco,CA,0.8503,NULL,NULL,NULL,NULL,NULL,51092,51092
University of California-Hastings College of Law,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Institute of Technology,Pasadena,CA,0.0642,740,760,790,800,1557,54600,54600
California Lutheran University,Thousand Oaks,CA,0.7142,540,630,530,620,1168,44382,44382
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,0.2842,620,700,620,740,1342,9943,23833
Alliant International University-San Diego,San Diego,CA,0.6667,NULL,NULL,NULL,NULL,NULL,14880,14880
California State University-Bakersfield,Bakersfield,CA,0.8071,NULL,NULL,NULL,NULL,NULL,7419,19299
California State University-Stanislaus,Turlock,CA,0.8929,NULL,NULL,NULL,NULL,NULL,7542,19422
California State University-San Bernardino,San Bernardino,CA,0.6856,460,550,450,540,985,6885,18765
California State Polytechnic University-Pomona,Pomona,CA,0.5459,500,620,510,650,1143,7396,19276
California State University-Chico,Chico,CA,0.7233,500,600,490,590,1089,7806,19686
California State University-Dominguez Hills,Carson,CA,0.77,NULL,NULL,NULL,NULL,NULL,6946,18826
California State University-Fresno,Fresno,CA,0.5794,470,570,470,560,1030,6589,18469
California State University-Fullerton,Fullerton,CA,0.5269,510,600,520,600,1113,6924,18804
California State University-East Bay,Hayward,CA,0.7618,NULL,NULL,NULL,NULL,NULL,7000,18880
California State University-Long Beach,Long Beach,CA,0.3927,520,620,520,630,1146,6834,18714
California State University-Los Angeles,Los Angeles,CA,0.4781,450,540,440,540,979,6768,18648
California State University-Northridge,Northridge,CA,0.5934,460,570,450,560,1019,6977,18857
California State University-Sacramento,Sacramento,CA,0.8226,470,570,470,570,1035,7368,19248
University of California-Berkeley,Berkeley,CA,0.1625,650,740,680,790,1449,14253,44007
University of California-Davis,Davis,CA,0.3887,580,680,590,730,1298,14495,44249
University of California-Irvine,Irvine,CA,0.2654,570,670,600,750,1306,13727,43481
University of California-Los Angeles,Los Angeles,CA,0.1232,650,740,650,790,1429,13240,42994
University of California-Riverside,Riverside,CA,0.5652,570,650,560,680,1239,13853,43607
University of California-San Diego,La Jolla,CA,0.3148,620,710,630,780,1375,14415,44169
University of California-San Francisco,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of California-Santa Barbara,Santa Barbara,CA,0.2956,620,710,610,770,1370,14391,44145
University of California-Santa Cruz,Santa Cruz,CA,0.5131,600,670,600,710,1306,13991,43745
Sofia University,Palo Alto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Beauty School,Modesto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Christian College,Fresno,CA,1,NULL,NULL,NULL,NULL,NULL,9810,9810
Haven University,Garden Grove,CA,NULL,NULL,NULL,NULL,NULL,NULL,7710,7710
California Hair Design Academy,La Mesa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Institute of the Arts,Valencia,CA,0.2528,NULL,NULL,NULL,NULL,NULL,51466,51466
California State University Maritime Academy,Vallejo,CA,0.7621,NULL,NULL,NULL,NULL,NULL,7116,18996
California Western School of Law,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Canada College,Redwood City,CA,NULL,NULL,NULL,NULL,NULL,NULL,1362,9006
College of the Canyons,Santa Clarita,CA,NULL,NULL,NULL,NULL,NULL,NULL,1156,7804
Career Academy of Beauty,Garden Grove,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Casa Loma College-Van Nuys,Van Nuys,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CET-San Diego,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CET-San Jose,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CET-El Centro,El Centro,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CET-Colton,Colton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CET-Watsonville,Watsonville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CET-Salinas,Salinas,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cerritos College,Norwalk,CA,NULL,NULL,NULL,NULL,NULL,NULL,1346,8766
Cerro Coso Community College,Ridgecrest,CA,NULL,NULL,NULL,NULL,NULL,NULL,1290,7702
Chabot College,Hayward,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,7912
Chaffey College,Rancho Cucamonga,CA,NULL,NULL,NULL,NULL,NULL,NULL,1172,8012
Chapman University,Orange,CA,0.5565,600,680,590,700,1296,54924,54924
Charles R Drew University of Medicine and Science,Los Angeles,CA,0.3164,403,495,410,470,889,13972,13972
Concordia University-Irvine,Irvine,CA,0.7081,490,600,500,610,1100,36740,36740
San Diego Christian College,Santee,CA,0.5526,470,600,460,570,1050,32346,32346
Stockton Christian Life College,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Church Divinity School of the Pacific,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Citrus College,Glendora,CA,NULL,NULL,NULL,NULL,NULL,NULL,1190,7646
Citrus Heights Beauty College,Citrus Heights,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
City College of San Francisco,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,12792
Claremont Graduate University,Claremont,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Claremont McKenna College,Claremont,CA,0.103,670,730,690,780,1449,56475,56475
Milan Institute-Visalia,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Clovis Adult Education,Clovis,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Coastline Community College,Fountain Valley,CA,NULL,NULL,NULL,NULL,NULL,NULL,1150,6670
Cogswell University of Silicon Valley,San Jose,CA,0.4934,NULL,NULL,NULL,NULL,NULL,20800,20800
Coba Academy,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Western University of Health Sciences,Pomona,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Columbia College,Sonora,CA,NULL,NULL,NULL,NULL,NULL,NULL,1176,7536
Columbia College Hollywood,Tarzana,CA,NULL,NULL,NULL,NULL,NULL,NULL,24495,24495
Compton College,Compton,CA,NULL,NULL,NULL,NULL,NULL,NULL,1142,5942
Contra Costa College,San Pablo,CA,NULL,NULL,NULL,NULL,NULL,NULL,1312,9012
Cosumnes River College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,1104,8928
Crafton Hills College,Yucaipa,CA,NULL,NULL,NULL,NULL,NULL,NULL,1144,8008
Cuesta College,San Luis Obispo,CA,NULL,NULL,NULL,NULL,NULL,NULL,1338,8898
Cuyamaca College,El Cajon,CA,NULL,NULL,NULL,NULL,NULL,NULL,1340,8760
Cypress College,Cypress,CA,NULL,NULL,NULL,NULL,NULL,NULL,1142,6878
De Anza College,Cupertino,CA,NULL,NULL,NULL,NULL,NULL,NULL,1561,9526
International School of Beauty Inc,Palm Desert,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell'Arte International School of Physical Theatre,Blue Lake,CA,NULL,NULL,NULL,NULL,NULL,NULL,13400,13400
College of the Desert,Palm Desert,CA,NULL,NULL,NULL,NULL,NULL,NULL,1335,8615
