INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Milan Institute of Cosmetology,Amarillo,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Everglades University,Boca Raton,FL,0.7493,NULL,NULL,NULL,NULL,NULL,18320,18320
Seminar L'moros Bais Yaakov,Brooklyn,NY,0.8341,NULL,NULL,NULL,NULL,NULL,9700,9700
Herzing University-Orlando,Winter Park,FL,0.7576,NULL,NULL,NULL,NULL,NULL,14200,14200
Cortiva Institute-Pompano,Pompano Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Biblical Studies-Houston,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,6946,9870
Inner State Beauty School,Lyndhurst,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mid-EastCTC-Adult Education,Zanesville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Polaris Career Center,Middleburg Heights,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
P&A Scholars Beauty School,Detroit,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ASM Beauty World Academy,Hollywood,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sharps Academy of Hair Styling,Grand Blanc,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The College of Health Care Professions-Northwest,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
School of Professional Horticulture New York Botanical Garden,Bronx,NY,NULL,NULL,NULL,NULL,NULL,NULL,8000,8000
Fortis College,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Watkins College of Art Design & Film,Nashville,TN,0.5818,470,635,435,560,1109,24750,24750
Alhambra Beauty College,Alhambra,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
UEI College-Gardena,Gardena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Asian-American International Beauty College,Westminster,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Copper Mountain Community College,Joshua Tree,CA,NULL,NULL,NULL,NULL,NULL,NULL,1112,7304
Diversified Vocational College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
UEI College-Fresno,Fresno,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Santiago Canyon College,Orange,CA,NULL,NULL,NULL,NULL,NULL,NULL,1154,8354
Southern California Institute of Technology,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,18390,18390
Soka University of America,Aliso Viejo,CA,0.4008,590,680,650,750,1337,33982,33982
Summit College,San Bernardino,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Advance Beauty College,Garden Grove,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Los Angeles Pacific College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,6715,6715
World Mission University,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,6440,6440
Yo San University of Traditional Chinese Medicine,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cannella School of Hair Design-Blue Island,Blue Island,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John Amico School of Hair Design,Oak Forest,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delta College Inc,Covington,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest University of Visual Arts-Albuquerque,Albuquerque,NM,NULL,NULL,NULL,NULL,NULL,NULL,22588,22588
Tri-State Cosmetology Institute,El Paso,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Frontier Community College,Fairfield,IL,NULL,NULL,NULL,NULL,NULL,NULL,4098,12082
Lincoln Trail College,Robinson,IL,NULL,NULL,NULL,NULL,NULL,NULL,4098,12082
Wabash Valley College,Mount Carmel,IL,NULL,NULL,NULL,NULL,NULL,NULL,4098,12082
American Institute of Interior Design,Fountain Hills,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brookline College-Tempe,Tempe,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Inter American University of Puerto Rico-School of Optometry,Bayamon,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Schiller International University,Tampa,FL,NULL,NULL,NULL,NULL,NULL,NULL,14360,14360
Coconino Community College,Flagstaff,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2664,9324
Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brillare Beauty Institute,Cleveland,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Columbia Central University-Yauco,Yauco,PR,NULL,NULL,NULL,NULL,NULL,NULL,6600,6600
Pima Medical Institute-Denver,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ASA College,Brooklyn,NY,NULL,NULL,NULL,NULL,NULL,NULL,12728,12728
Ohio State School of Cosmetology-Heath,Heath,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yeshivas Novominsk,Brooklyn,NY,0.9474,NULL,NULL,NULL,NULL,NULL,10300,10300
Southern Careers Institute-Corpus Christi,Corpus Christi,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,NULL,NULL,NULL,NULL,NULL,NULL,14600,14600
Carroll Community College,Westminster,MD,NULL,NULL,NULL,NULL,NULL,NULL,4128,8358
University of Phoenix-New Mexico,Albuquerque,NM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Galen College of Nursing-San Antonio,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sarasota School of Massage Therapy,Sarasota,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Schuyler Steuben Chemung Tioga Allegany BOCES,Elmira,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,Norwich,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DCI Career Institute,Monaca,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central Susquehanna Intermediate Unit LPN Career,Lewisburg,PA,0.6262,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Myotherapy College of Utah,Millcreek City,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
City College-Gainesville,Gainesville,FL,NULL,NULL,NULL,NULL,NULL,NULL,14539,14539
Arizona State University-West,Glendale,AZ,0.8175,530,640,510,630,1214,10268,26548
G Skin & Beauty Institute,Oakbrook,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cosmetology Training Center,Lafayette,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stage One-The Hair School,Lake Charles,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Malden,Malden,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Xenon International Academy-Omaha,Omaha,NE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Capri Institute of Hair Design-Brick,Brick,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Capri Institute of Hair Design-Kenilworth,Kenilworth,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Capri Institute of Hair Design-Paramus,Paramus,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Orlo School of Hair Design and Cosmetology,Albany,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eastland-Fairfield Career and Technical Schools,Groveport,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Cincinnati,Cincinnati,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mahoning County Career and Technical Center,Canfield,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pickaway Ross Joint Vocational School District,Chillicothe,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pioneer Career and Technology Center,Shelby,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Raphael's School of Beauty Culture Inc-Boardman,Boardman,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scioto County Career Technical Center,Lucasville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trumbull Career & Technical Center,Warren,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific Bible College,Medford,OR,NULL,NULL,NULL,NULL,NULL,NULL,4010,4010
Lake Erie College of Osteopathic Medicine,Erie,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Highlights Beauty Schools,Federal Way,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Green Bay,Ashwaubenon,WI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Warren County Career Center,Lebanon,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Wichita,Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pinnacle Institute of Cosmetology,Mooresville,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Pharr,Pharr,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Laurel Technical Institute,MEADVILLE,PA,0.9231,NULL,NULL,NULL,NULL,NULL,10645,10645
Florida National University-Main Campus,Hialeah,FL,NULL,NULL,NULL,NULL,NULL,NULL,13688,13688
Georgia Institute of Cosmetology,Athens,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nouvelle Institute,Miami,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Franklin Technology Center Adult Education,Joplin,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Professional Technical Institution,Bayamon,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Erikson Institute,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas College,McAllen,TX,NULL,NULL,NULL,NULL,NULL,NULL,4140,7830
Pike County Joint Vocational School District,Piketon,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lorain County Joint Vocational School District,Oberlin,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Roger Williams University School of Law,Bristol,RI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California State University-Monterey Bay,Seaside,CA,0.7528,485,600,470,570,1059,7143,19023
Ohio Media School-Valley View,Valley View,OH,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EINE Inc,Tewksbury,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marian Health Careers Center-Los Angeles Campus,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy for Nursing and Health Occupations,West Palm Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shawsheen Valley School of Practical Nursing,Billerica,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shear Ego International School of Hair Design,Rochester,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Remington College-Memphis Campus,Memphis,TN,NULL,NULL,NULL,NULL,NULL,NULL,15399,15399
Fayette Institute of Technology,Oak Hill,WV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Capella University,Minneapolis,MN,NULL,NULL,NULL,NULL,NULL,NULL,14540,14540
College of Menominee Nation,Keshena,WI,NULL,NULL,NULL,NULL,NULL,NULL,6200,6200
Leech Lake Tribal College,Cass Lake,MN,NULL,NULL,NULL,NULL,NULL,NULL,4198,4198
Spartan College of Aeronautics & Technology,Inglewood,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stone Academy-Waterbury,Waterbury,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
East San Gabriel Valley Regional Occupational Program,West Covina,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yukon Beauty College Inc,Yukon,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Education Institute-Morrow,Morrow,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Toni & Guy Hairdressing Academy-Atlanta,Marietta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mitchells Academy,Raleigh,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Artistic Academy of Hair Design,Morris Plains,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Motoring Technical Training Institute,Seekonk,MA,0.9904,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mech-Tech College,Caguas,PR,NULL,NULL,NULL,NULL,NULL,NULL,9618,9618
Baldwin Beauty School-North Austin,Austin,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jean Madeline Aveda Institute,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific College of Oriental Medicine-New York,New York,NY,NULL,NULL,NULL,NULL,NULL,NULL,10517,10517
Johnson & Wales University-North Miami,North Miami,FL,0.8782,NULL,NULL,NULL,NULL,NULL,33404,33404
Tricoci University of Beauty Culture-Indianapolis,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trine University-Regional/Non-Traditional Campuses,Fort Wayne,IN,0.2414,NULL,NULL,NULL,NULL,1170,9576,9576
Pennsylvania Highlands Community College,Johnstown,PA,NULL,NULL,NULL,NULL,NULL,NULL,6180,11640
Nevada Career Institute,Las Vegas,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Phillips Theological Seminary,Tulsa,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Hanover,Hanover,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Industrial Management Training Institute,Waterbury,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Allen School-Jamaica,Jamaica,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Premiere Career College,Irwindale,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The University of Texas MD Anderson Cancer Center,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Huntsville,Madison,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Estes Institute of Cosmetology Arts and Science,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baldwin Park Adult & Community Education,Baldwin Park,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ventura Adult and Continuing Education,Ventura,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CT Aero Tech School,Hartford,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stratford School for Aviation Maintenance Technicians,Stratford,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
City College-Altamonte Springs,Altamonte Springs,FL,NULL,NULL,NULL,NULL,NULL,NULL,14696,14696
Empire Beauty School-Dunwoody,Dunwoody,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career Center of Southern Illinois,Red Bud,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Crave Beauty Academy,Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hastings Beauty School,Hastings,MN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kirksville Area Technical Center,Kirksville,MO,0.6364,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Central Career Center,West Plains,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saline County Career Center,Marshall,MO,0.7692,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Warrensburg Area Career Center,Warrensburg,MO,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cass Career Center,Harrisonville,MO,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Applied Technology Services,Sunset Hills,MO,0.5333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central College of Cosmetology,Saint Robert,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,0.5,NULL,NULL,NULL,NULL,1120,12177,12177
Messenger College,Bedford,TX,0.75,NULL,NULL,NULL,NULL,NULL,9180,9180
Union County Vocational Technical School,Scotch Plains,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prism Career Institute-Philadelphia,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Clinton Essex Warren Washington BOCES,Plattsburgh,NY,0.2788,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jefferson Lewis BOCES-Practical Nursing Program,Watertown,NY,NULL,NULL,NULL,NULL,NULL,NULL,18498,18498
Veeb Nassau County School of Practical Nursing,Hicksville,NY,0.6699,NULL,NULL,NULL,NULL,NULL,18755,18755
Cattaraugus Allegany BOCES-Practical Nursing Program,Olean,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Orange Ulster BOCES-Practical Nursing Program,Goshen,NY,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wayne Finger Lakes BOCES-Practical Nursing Program,Newark,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,NY,0.3846,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Hudson Falls,NY,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albany BOCES-Adult Practical Nursing Program,Albany,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ulster BOCES-School of Practical Nursing,Port Ewen,NY,0.5294,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eastern Suffolk BOCES,Brentwood,NY,0.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rockland County BOCES-Practical Nursing Program,West Nyack,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
New York College of Health Professions,Syosset,NY,NULL,NULL,NULL,NULL,NULL,NULL,14226,14226
Charles Stuart School of Diamond Setting,Brooklyn,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Penta County Joint Vocational School,Perrysburg,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career and Technology Education Centers of Licking County,Newark,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northern Career Institute,Eastlake,OH,NULL,NULL,NULL,NULL,NULL,NULL,13700,13700
Washington County Career Center-Adult Technical Training,Marietta,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ohio Media School-Cincinnati,Norwood,OH,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vantage Career Center,Van Wert,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Indian Capital Technology Center-Muskogee,Muskogee,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Western Technology Center,Burns Flat,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mid-America Technology Center,Wayne,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northeast Technology Center-Pryor,Pryor,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eastern Oklahoma County Technology Center,Choctaw,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wes Watkins Technology Center,Wetumka,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
York County School of Technology-Adult & Continuing Education,York,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chester County Intermediate Unit,Downingtown,PA,0.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,0.8824,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Greater Johnstown Career and Technology Center,Johnstown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mifflin County Academy of Science and Technology,Lewistown,PA,0.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lenape Technical School Practical Nursing Program,Ford City,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Venango County Area Vocational Technical School,Oil City,PA,0.5301,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lancaster County Career and Technology Center,Willow Street,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lebanon County Area Vocational Technical School,Lebanon,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Indiana County Technology Center,Indiana,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northern Tier Career Center,Towanda,PA,0.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hazleton Area Career Center,Hazle TWP.,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
All-State Career School-Pittsburgh,West Mifflin,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Quality Technical and Beauty College,Bayamon,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
D'Mart Institute,Barranquitas,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Automeca Technical College-Aguadilla,Aguadilla,PR,NULL,NULL,NULL,NULL,NULL,NULL,7601,7601
North Central Institute,Clarksville,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pipo Academy of Hair Design,El Paso,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tint School of Makeup and Cosmetology-Dallas,Grand Prairie,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Technical Center,Clarksburg,WV,0.75,NULL,NULL,NULL,NULL,NULL,3900,3900
Charles H McCann Technical School,North Adams,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central California School of Continuing Education,San Luis Obispo,CA,NULL,NULL,NULL,NULL,NULL,NULL,9895,9895
Mercy Hospital School of Practical Nursing-Plantation General Hospital,Miami,FL,0.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marion Technical College,Ocala,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Atlanta Institute of Music and Media,Duluth,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Illinois Media School,Lombard,IL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
New Dimensions School of Hair Design,Joplin,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Forbes Road Career and Technology Center,Monroeville,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jna Institute of Culinary Arts,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,14575,14575
Putnam Career and Technical Center,Eleanor,WV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Texas College of Cosmetology-San Angelo,San Angelo,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Automeca Technical College-Bayamon,Bayamon,PR,NULL,NULL,NULL,NULL,NULL,NULL,7601,7601
Automeca Technical College-Caguas,Caguas,PR,NULL,NULL,NULL,NULL,NULL,NULL,7601,7601
Automeca Technical College-Ponce,Ponce,PR,NULL,NULL,NULL,NULL,NULL,NULL,7601,7601
Centura College-Chesapeake,Chesapeake,VA,NULL,NULL,NULL,NULL,NULL,NULL,16637,16637
University of Phoenix-Hawaii,Kapolei,HI,NULL,NULL,NULL,NULL,NULL,NULL,9552,9552
Prism Career Institute-Cherry Hill,Cherry Hill,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Escuela de Peritos Electricistas de Isabela Inc,Isabela,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yeshiva D'monsey Rabbinical College,Monsey,NY,0.6316,NULL,NULL,NULL,NULL,NULL,7500,7500
Lincoln Technical Institute-Mahwah,Mahwah,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career Technical Institute,Washington,DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northwest Vista College,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,3030,14220
Oconee Fall Line Technical College,Sandersville,GA,NULL,NULL,NULL,NULL,NULL,NULL,3062,5462
York County Community College,Wells,ME,NULL,NULL,NULL,NULL,NULL,NULL,3630,6450
Northeast Technology Center-Afton,Afton,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Western Suffolk BOCES,Northport,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas State University-Mountain Home,Mountain Home,AR,NULL,NULL,NULL,NULL,NULL,NULL,2904,4464
Columbia Gorge Community College,The Dalles,OR,NULL,NULL,NULL,NULL,NULL,NULL,4572,9288
Arizona State University-Polytechnic,Mesa,AZ,0.8371,550,640,570,660,1214,10268,26548
Colleen O'Haras Beauty Academy,Santa Ana,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bakke Graduate University,Dallas,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tillamook Bay Community College,Tillamook,OR,NULL,NULL,NULL,NULL,NULL,NULL,3996,4716
Manhattan School of Computer Technology,Brooklyn,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ross College-Hopkinsville,Hopkinsville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-St. George,Saint George,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cadillac Institute of Cosmetology,Cadillac,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona College-Glendale,Glendale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,15841,15841
Vanguard-Sentinel Adult Career and Technology Center,Fremont,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
House of Heavilin Beauty College-Raymore,Raymore,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Living Arts College,Raleigh,NC,1,NULL,NULL,NULL,NULL,NULL,16600,16600
New York Conservatory for Dramatic Arts,New York,NY,0.9226,NULL,NULL,NULL,NULL,NULL,33561,33561
Eastern International College-Jersey City,Jersey City,NJ,NULL,NULL,NULL,NULL,NULL,NULL,21225,21225
Academia Serrant Inc,Ponce,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific College,Costa Mesa,CA,0.6552,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American College of Healthcare and Technology,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
